Airline,Departure Time,Arrival Time,Duration,Total stops,Price,Date,Class,Origin,Destination
Uzbekistan Airways,13:45,13:45,25h 30m,2 stops,"₹ 34,340",2023-08-16,Economy,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 29,860",2023-08-16,Economy,DEL,DXB
Kuwait Airways,02:45,17:55,16h 40m,1 stop,"₹ 32,490",2023-08-16,Economy,DEL,DXB
IndiGo,08:40,10:50,3h 40m,direct,"₹ 12,749",2023-08-16,Economy,DEL,DXB
Kuwait Airways,06:55,12:20,6h 55m,1 stop,"₹ 28,592",2023-08-16,Economy,DEL,DXB
Kuwait Airways,06:55,03:25,22h 00m,1 stop,"₹ 35,518",2023-08-16,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 24,090",2023-08-16,Lite,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 29,860",2023-08-16,Value,DEL,DXB
Kuwait Airways,06:55,12:20,6h 55m,1 stop,"₹ 25,768",2023-08-16,Economy,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 30,299",2023-08-16,Economy,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 26,276",2023-08-16,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 32,287",2023-08-16,Economy,DEL,DXB
Ethiopian Air,09:35,20:55,36h 50m,2 stops,"₹ 55,058",2023-08-16,Economy,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 30,299",2023-08-16,Economy,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 33,075",2023-08-16,Economy,DEL,DXB
Ethiopian Air,09:35,02:55,18h 50m,1 stop,"₹ 37,642",2023-08-16,Economy,DEL,DXB
Ethiopian Air,09:35,15:45,31h 40m,1 stop,"₹ 26,276",2023-08-16,Economy,DEL,DXB
IndiGo,20:45,04:00,8h 45m,1 stop,"₹ 14,396",2023-08-16,Economy,DEL,DXB
flynas,04:15,15:25,12h 40m,1 stop,"₹ 22,027",2023-08-16,Light,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 12,669",2023-08-16,Economy,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 29,860",2023-08-16,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 12,669",2023-08-16,Economy,DEL,DXB
IndiGo,08:40,10:50,3h 40m,direct,"₹ 13,799",2023-08-16,Economy,DEL,DXB
IndiGo,23:15,09:40,11h 55m,1 stop,"₹ 14,396",2023-08-16,Economy,DEL,DXB
IndiGo,08:40,10:50,3h 40m,direct,"₹ 12,749",2023-08-16,Economy,DEL,DXB
"IndiGo, Air India Express",20:45,02:55,7h 40m,1 stop,"₹ 18,272",2023-08-16,Economy,DEL,DXB
Uzbekistan Airways,06:35,11:00,29h 55m,1 stop,"₹ 40,090",2023-08-16,Economy,DEL,DXB
Ethiopian Air,02:30,11:15,34h 15m,2 stops,"₹ 55,058",2023-08-16,Economy,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 30,193",2023-08-16,Economy,DEL,DXB
IndiGo,08:40,10:50,3h 40m,direct,"₹ 12,749",2023-08-16,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 12,669",2023-08-16,Economy,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 29,860",2023-08-16,Economy,DEL,DXB
Jazeera Airways,08:15,18:40,11h 55m,1 stop,"₹ 30,299",2023-08-16,Economy,DEL,DXB
Ethiopian Air,09:35,02:55,18h 50m,1 stop,"₹ 30,030",2023-08-16,Economy,DEL,DXB
Ethiopian Air,09:35,04:10,20h 05m,1 stop,"₹ 37,642",2023-08-16,Economy,DEL,DXB
Ethiopian Air,09:35,15:45,31h 40m,1 stop,"₹ 26,276",2023-08-16,Economy,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 33,075",2023-08-16,Economy,DEL,DXB
Ethiopian Air,09:35,15:45,31h 40m,1 stop,"₹ 26,276",2023-08-16,Economy,DEL,DXB
Jazeera Airways,08:15,18:50,12h 05m,1 stop,"₹ 30,299",2023-08-16,Economy,DEL,DXB
Kuwait Airways,02:45,12:20,11h 05m,1 stop,"₹ 52,669",2023-08-16,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 17,628",2023-08-16,Lite,DEL,DXB
Air India,09:50,12:10,3h 50m,direct,"₹ 14,437",2023-08-16,Economy,DEL,DXB
IndiGo,08:40,10:50,3h 40m,direct,"₹ 14,911",2023-08-16,Economy,DEL,DXB
IndiGo,02:00,09:40,9h 10m,1 stop,"₹ 15,241",2023-08-16,Economy,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 30,299",2023-08-16,Economy,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 30,030",2023-08-16,Economy,DEL,DXB
Ethiopian Air,09:35,04:10,20h 05m,1 stop,"₹ 26,276",2023-08-16,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 36,046",2023-08-16,Economy,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 29,860",2023-08-16,Economy,DEL,DXB
IndiGo,05:25,18:40,14h 45m,1 stop,"₹ 16,017",2023-08-16,Economy,DEL,DXB
Kuwait Airways,06:55,17:55,12h 30m,1 stop,"₹ 51,247",2023-08-16,Economy,DEL,DXB
Kuwait Airways,06:55,03:25,22h 00m,1 stop,"₹ 49,451",2023-08-16,Economy,DEL,DXB
Ethiopian Air,02:30,11:15,34h 15m,2 stops,"₹ 55,058",2023-08-16,Economy,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 30,299",2023-08-16,Economy,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 26,276",2023-08-16,Economy,DEL,DXB
Ethiopian Air,09:35,04:10,20h 05m,1 stop,"₹ 33,075",2023-08-16,Economy,DEL,DXB
Ethiopian Air,02:30,04:10,27h 10m,1 stop,"₹ 43,653",2023-08-16,Economy,DEL,DXB
Kuwait Airways,06:55,12:20,6h 55m,1 stop,"₹ 71,935",2023-08-16,Economy,DEL,DXB
IndiGo,02:00,16:55,16h 25m,1 stop,"₹ 19,964",2023-08-16,Economy,DEL,DXB
Kuwait Airways,06:55,17:55,12h 30m,1 stop,"₹ 59,007",2023-08-16,Economy,DEL,DXB
Kuwait Airways,06:55,19:55,14h 30m,1 stop,"₹ 75,578",2023-08-16,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 24,033",2023-08-16,Lite,DEL,DXB
Vistara,09:00,18:15,10h 45m,1 stop,"₹ 19,829",2023-08-16,Economy,DEL,DXB
IndiGo,17:30,04:00,12h 00m,1 stop,"₹ 20,873",2023-08-16,Economy,DEL,DXB
SAUDIA,11:25,04:35,18h 40m,1 stop,"₹ 17,214",2023-08-16,Economy,DEL,DXB
SAUDIA,11:25,03:00,17h 05m,1 stop,"₹ 17,219",2023-08-16,Economy,DEL,DXB
IndiGo,05:30,21:00,17h 00m,1 stop,"₹ 19,952",2023-08-16,Economy,DEL,DXB
Kuwait Airways,06:55,12:20,6h 55m,1 stop,"₹ 65,131",2023-08-16,Economy,DEL,DXB
Kuwait Airways,06:55,03:25,22h 00m,1 stop,"₹ 61,693",2023-08-16,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 23,245",2023-08-16,Economy,DEL,DXB
SpiceJet,20:10,18:25,23h 45m,1 stop,"₹ 22,447",2023-08-16,Economy,DEL,DXB
SpiceJet,20:55,22:00,26h 35m,1 stop,"₹ 25,205",2023-08-16,Economy,DEL,DXB
Kuwait Airways,02:45,12:20,11h 05m,1 stop,"₹ 51,481",2023-08-16,Economy,DEL,DXB
Uzbekistan Airways,06:35,11:00,29h 55m,1 stop,"₹ 38,384",2023-08-16,Economy,DEL,DXB
Ethiopian Air,09:35,20:55,36h 50m,2 stops,"₹ 55,058",2023-08-16,Economy,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 38,511",2023-08-16,Economy,DEL,DXB
Ethiopian Air,09:35,04:10,20h 05m,1 stop,"₹ 43,073",2023-08-16,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 39,960",2023-08-16,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 17,628",2023-08-16,Lite,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 26,032",2023-08-16,Economy,DEL,DXB
Jazeera Airways,08:15,18:40,11h 55m,1 stop,"₹ 30,299",2023-08-16,Economy,DEL,DXB
Ethiopian Air,09:35,02:55,18h 50m,1 stop,"₹ 33,075",2023-08-16,Economy,DEL,DXB
Ethiopian Air,09:35,04:10,20h 05m,1 stop,"₹ 37,642",2023-08-16,Economy,DEL,DXB
Ethiopian Air,09:35,15:45,31h 40m,1 stop,"₹ 26,276",2023-08-16,Economy,DEL,DXB
Ethiopian Air,09:35,02:55,18h 50m,1 stop,"₹ 33,075",2023-08-16,Economy,DEL,DXB
Ethiopian Air,09:35,04:10,20h 05m,1 stop,"₹ 37,642",2023-08-16,Economy,DEL,DXB
Ethiopian Air,09:35,15:45,31h 40m,1 stop,"₹ 26,276",2023-08-16,Economy,DEL,DXB
Gulf Air,03:55,09:30,7h 05m,1 stop,"₹ 19,741",2023-08-16,Economy,DEL,DXB
Jazeera Airways,08:15,18:50,12h 05m,1 stop,"₹ 30,173",2023-08-16,Economy,DEL,DXB
Kuwait Airways,02:45,12:20,11h 05m,1 stop,"₹ 65,927",2023-08-16,Economy,DEL,DXB
Kuwait Airways,06:55,17:55,12h 30m,1 stop,"₹ 73,098",2023-08-16,Economy,DEL,DXB
SpiceJet,20:10,18:25,23h 45m,1 stop,"₹ 22,447",2023-08-16,Economy,DEL,DXB
Kuwait Airways,02:45,03:25,26h 10m,1 stop,"₹ 70,464",2023-08-16,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 23,245",2023-08-16,Economy,DEL,DXB
SAUDIA,11:25,21:30,11h 35m,1 stop,"₹ 17,214",2023-08-16,Economy,DEL,DXB
SAUDIA,20:00,10:45,16h 15m,1 stop,"₹ 18,629",2023-08-16,Economy,DEL,DXB
Kuwait Airways,06:55,17:55,12h 30m,1 stop,"₹ 73,098",2023-08-16,Economy,DEL,DXB
SpiceJet,20:10,18:25,23h 45m,1 stop,"₹ 23,538",2023-08-16,Economy,DEL,DXB
SpiceJet,20:55,22:00,26h 35m,1 stop,"₹ 28,455",2023-08-16,Economy,DEL,DXB
Kuwait Airways,06:55,03:25,22h 00m,1 stop,"₹ 70,464",2023-08-16,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 19,606",2023-08-16,Economy,DEL,DXB
SpiceJet,20:10,18:25,23h 45m,1 stop,"₹ 23,538",2023-08-16,Economy,DEL,DXB
Kuwait Airways,02:45,12:20,11h 05m,1 stop,"₹ 65,927",2023-08-16,Economy,DEL,DXB
Kuwait Airways,02:45,17:55,16h 40m,1 stop,"₹ 70,485",2023-08-16,Economy,DEL,DXB
SpiceJet,20:55,22:00,26h 35m,1 stop,"₹ 28,455",2023-08-16,Economy,DEL,DXB
Uzbekistan Airways,06:35,11:00,29h 55m,1 stop,"₹ 39,113",2023-08-16,Economy,DEL,DXB
Kuwait Airways,02:45,03:25,26h 10m,1 stop,"₹ 55,421",2023-08-16,Economy,DEL,DXB
Gulf Air,03:55,09:30,7h 05m,1 stop,"₹ 22,630",2023-08-16,Economy,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 29,860",2023-08-16,Economy,DEL,DXB
SpiceJet,09:20,22:00,14h 10m,1 stop,"₹ 28,419",2023-08-16,Economy,DEL,DXB
Kuwait Airways,06:55,17:55,12h 30m,1 stop,"₹ 65,971",2023-08-16,Economy,DEL,DXB
Kuwait Airways,02:45,12:20,11h 05m,1 stop,"₹ 71,935",2023-08-16,Economy,DEL,DXB
SpiceJet,20:10,18:25,23h 45m,1 stop,"₹ 23,135",2023-08-16,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 15,054",2023-08-17,Lite,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 37,642",2023-08-17,Economy,DEL,DXB
Ethiopian Air,09:35,15:45,31h 40m,1 stop,"₹ 30,030",2023-08-17,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 54,306",2023-08-17,Economy,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 42,204",2023-08-17,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 54,306",2023-08-17,Economy,DEL,DXB
Ethiopian Air,02:30,04:10,27h 10m,1 stop,"₹ 60,396",2023-08-17,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,042",2023-08-17,Lite,DEL,DXB
Jazeera Airways,08:15,18:40,11h 55m,1 stop,"₹ 24,158",2023-08-17,Economy,DEL,DXB
Air India,20:30,22:45,3h 45m,direct,"₹ 15,334",2023-08-17,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 14,041",2023-08-17,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 14,064",2023-08-17,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,429",2023-08-17,Lite,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 29,781",2023-08-17,Economy,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 24,158",2023-08-17,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 15,032",2023-08-17,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 14,957",2023-08-17,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 17,724",2023-08-17,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 13,522",2023-08-17,Lite,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 12,669",2023-08-17,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 13,799",2023-08-17,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,465",2023-08-17,Lite,DEL,DXB
Jazeera Airways,08:15,18:50,12h 05m,1 stop,"₹ 27,182",2023-08-17,Value,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 40,396",2023-08-17,Flex,DEL,DXB
Ethiopian Air,02:30,20:55,19h 55m,2 stops,"₹ 94,599",2023-08-17,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 13,321",2023-08-17,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 11,935",2023-08-17,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 12,669",2023-08-17,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,465",2023-08-17,Lite,DEL,DXB
"Vistara, SpiceJet",21:55,03:55,7h 30m,1 stop,"₹ 19,069",2023-08-17,Value,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 29,411",2023-08-17,Flex,DEL,DXB
Ethiopian Air,09:35,15:45,31h 40m,1 stop,"₹ 26,019",2023-08-17,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 35,242",2023-08-17,Economy,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 30,030",2023-08-17,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 36,046",2023-08-17,Economy,DEL,DXB
Ethiopian Air,02:30,04:10,27h 10m,1 stop,"₹ 48,221",2023-08-17,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,042",2023-08-17,Lite,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 24,158",2023-08-17,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 13,321",2023-08-17,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 11,935",2023-08-17,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 12,669",2023-08-17,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,465",2023-08-17,Lite,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 28,467",2023-08-17,Value,DEL,DXB
Jazeera Airways,08:15,18:40,11h 55m,1 stop,"₹ 27,182",2023-08-17,Flex,DEL,DXB
Kuwait Airways,06:55,17:55,12h 30m,1 stop,"₹ 73,537",2023-08-17,Economy,DEL,DXB
IndiGo,08:40,10:50,3h 40m,direct,"₹ 14,553",2023-08-17,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 13,658",2023-08-17,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 14,451",2023-08-17,Economy,DEL,DXB
Jazeera Airways,08:15,18:40,11h 55m,1 stop,"₹ 24,158",2023-08-17,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 13,555",2023-08-17,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 13,842",2023-08-17,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 13,212",2023-08-17,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,042",2023-08-17,Lite,DEL,DXB
Emirates,11:00,13:00,3h 30m,direct,"₹ 16,681",2023-08-17,Eco Special,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 27,622",2023-08-17,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 11,935",2023-08-17,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 12,669",2023-08-17,Economy,DEL,DXB
Ethiopian Air,09:35,02:55,18h 50m,1 stop,"₹ 26,276",2023-08-17,Economy,DEL,DXB
Ethiopian Air,09:35,04:10,20h 05m,1 stop,"₹ 30,030",2023-08-17,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 32,287",2023-08-17,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,429",2023-08-17,Lite,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 24,158",2023-08-17,Economy,DEL,DXB
